Key,Description,en,fr
fa26-opDesertCobra_mission8_b5,Text from a mission briefing.,"The primary targets are rows of cylindrical tents lined up from east to west.

Your flight path will allow you to strike multiple targets in a single low-altitude bombing pass.","Les cibles principales sont des rangees de tentes cylindriques alignees d'est en ouest.

Votre chemin de vol vous permettra d'atteindre plusieurs cibles en un seul passage de bombardement a basse altitude."
fa26-opDesertCobra_mission8_b6,Text from a mission briefing.,"After the first pass, flight lead duties will be passed over to you (Kilo 1-2). Lead your wingmen to take down the remaining targets.","Apres le premier passage, les responsabilites de leader de vol seront transferees a vous (Kilo 1-2). Menez vos compagnons d'escadre pour abattre les cibles restantes."
fa26-opDesertCobra_mission8_b7,Text from a mission briefing.,"A group of F-45A's will take off from a nearby FARP to help keep enemy aircraft and other threats off of you and your wingmen.

Once primary targets have been destroyed, an AV-42C will also dispatch from here to deliver troops to the headquarters and capture the enemy leaders.","Un groupe de F-45A decollera d'un FARP voisin pour aider a eloigner les avions ennemis et autres menaces de vous et de vos compagnons d'escadre.

Une fois les cibles principales detruites, un AV-42C decollera egalement de la pour transporter des troupes au quartier general et capturer les leaders ennemis."
fa26-opDesertCobra_mission8_b8,Text from a mission briefing.,"You will be tasked to protect them at that time, but we'll update you on that final operation when we get to it.

Focus on supporting your wingmen during the flight through hostile territory and destroying the primary targets.","Vous serez charge de les proteger a ce moment-la, mais nous vous informerons de cette operation finale lorsque nous y arriverons.

Concentrez-vous sur le soutien de vos compagnons d'escadre pendant le vol a travers le territoire ennemi et la destruction des cibles principales."
fa26-opDesertCobra_mission8_b9,Text from a mission briefing.,"SUMMARY

OBJECTIVES
- Clear air defenses for bombers
- *Destroy enemy assets
- Protect troop transport

THREATS
- IR and Radar SAMs
- Aircraft","RESUME

OBJECTIFS
- Eliminer les defenses aeriennes pour les bombardiers
- *Detruire les ressources ennemies
- Proteger le transport de troupes

MENACES
- SAM IR et radar
- Avions"
campaign_f45-quickFlight_name,Name of a campaign.,Quick Flight,Vol rapide
campaign_f45-quickFlight_description,Description of a campaign.,A small collection of quick missions for the F-45A.,Une petite collection de missions rapides pour le F-45A.
f45-quickFlight:45_2StageAttack_name,Name of a mission.,Counter-Bomber,Contre-bombardier
f45-quickFlight:45_2StageAttack_description,Description of a mission.,Take the lead on this two-part mission to take down hostile bombers.,Prenez la tete de cette mission en deux parties pour abattre les bombardiers hostiles.
F-45A:f45-quickFlight:45_2StageAttack:obj_0:name,A mission objective name,SEAD,SEAD
F-45A:f45-quickFlight:45_2StageAttack:obj_0:info,Mission objective info.,Destroy the long range MAD-4 Radar (M4) near the airbase.,Detruisez le radar MAD-4 a longue portee (M4) pres de la base aerienne.
F-45A:f45-quickFlight:45_2StageAttack:obj_1:name,A mission objective name,Destroy Fighters,Detruire les chasseurs
F-45A:f45-quickFlight:45_2StageAttack:obj_1:info,Mission objective info.,Destroy the fighters taking off from the base with the help of India group.,Detruisez les chasseurs decollant de la base avec l'aide du groupe India.
F-45A:f45-quickFlight:45_2StageAttack:obj_2:name,A mission objective name,Rearm,Reapprovisionnement
F-45A:f45-quickFlight:45_2StageAttack:obj_2:info,Mission objective info.,Rearm at FARP,Reapprovisionnez-vous au FARP.
F-45A:f45-quickFlight:45_2StageAttack:obj_3:name,A mission objective name,Destroy Bombers,Detruire les bombardiers
F-45A:f45-quickFlight:45_2StageAttack:obj_3:info,Mission objective info.,Destroy bombers taking off from second airbase.,Detruisez les bombardiers decollant de la deuxieme base aerienne.
F-45A:f45-quickFlight:45_2StageAttack:obj_4:name,A mission objective name,RTB,RTB
F-45A:f45-quickFlight:45_2StageAttack:obj_4:info,Mission objective info.,Return to the fleet.,Retournez a la flotte.
f45-quickFlight:45_BayAssault_name,Name of a mission.,Bay Assault,Assaut sur la baie
f45-quickFlight:45_BayAssault_description,Description of a mission.,Attack high value targets in an attack on enemy territory.,Attaquez des cibles de haute valeur dans une attaque sur le territoire ennemi.
F-45A:f45-quickFlight:45_BayAssault:obj_0:name,A mission objective name,Destroy C2,Detruire le C2
F-45A:f45-quickFlight:45_BayAssault:obj_0:info,Mission objective info.,Locate and destroy the command & control bunkers,Localisez et detruisez les bunkers de commandement et de controle.
F-45A:f45-quickFlight:45_BayAssault:obj_1:name,A mission objective name,Destroy Artillery,Detruire l'artillerie
F-45A:f45-quickFlight:45_BayAssault:obj_1:info,Mission objective info.,Destroy the artillery attacking our ships.,Detruisez l'artillerie attaquant nos navires.
F-45A:f45-quickFlight:45_BayAssault:obj_2:name,A mission objective name,Destroy Aircraft,Detruire les aeronefs
F-45A:f45-quickFlight:45_BayAssault:obj_2:info,Mission objective info.,Find and destroy the highly capable enemy stealth fighters.,Trouvez et detruisez les chasseurs furtifs ennemis hautement capables.
F-45A:f45-quickFlight:45_BayAssault:obj_3:name,A mission objective name,Destroy Bombers,Detruire les bombardiers
F-45A:f45-quickFlight:45_BayAssault:obj_3:info,Mission objective info.,Find and destroy the enemy bomber aircraft.,Trouvez et detruisez les aeronefs bombardiers ennemis.
F-45A:f45-quickFlight:45_BayAssault:obj_4:name,A mission objective name,RTB,RTB
F-45A:f45-quickFlight:45_BayAssault:obj_4:info,Mission objective info.,Return to the assault carrier.,Retournez au porte-avions d'assaut.
F-45A:f45-quickFlight:45_BayAssault:obj_5:name,A mission objective name,Protect Carriers,Proteger les porte-avions
F-45A:f45-quickFlight:45_BayAssault:obj_5:info,Mission objective info.,Do not let the enemy destroy either of our carriers!,Ne laissez pas l'ennemi detruire l'un de nos porte-avions !
f45-quickFlight:45_carrierPractice_name,Name of a mission.,Carrier Landing Practice,Pratique de l'atterrissage sur porte-avions
f45-quickFlight:45_carrierPractice_description,Description of a mission.,Practice arrested or vertical landings on a moving carrier.,Pratiquez les atterrissages avec cables ou verticaux sur un porte-avions en mouvement.
f45-quickFlight:f45-freeFlight_name,Name of a mission.,Free Flight,Vol libre
f45-quickFlight:f45-freeFlight_description,Description of a mission.,No enemies or objectives.,Aucun ennemi ni objectif.
f45-quickFlight:f45_quickMission1_name,Name of a mission.,Stealth Strike,Frappe furtive
f45-quickFlight:f45_quickMission1_description,Description of a mission.,"Search for and destroy enemy weapon caches. Avoid detection or pay the price. Once they know where you are, they'll do anything to stop you.","Recherchez et detruisez les caches d'armes ennemies. Evitez la detection ou payez le prix. Une fois qu'ils savent où vous etes, ils feront tout pour vous arreter."
F-45A:f45-quickFlight:f45_quickMission1:obj_0:name,A mission objective name,Destroy Targets,Detruire les cibles
F-45A:f45-quickFlight:f45_quickMission1:obj_0:info,Mission objective info.,Find and destroy enemy weapon caches. Locations unknown.,Trouvez et detruisez les caches d'armes ennemies. Emplacements inconnus.
F-45A:f45-quickFlight:f45_quickMission1:obj_1:name,A mission objective name,RTB,RTB
F-45A:f45-quickFlight:f45_quickMission1:obj_1:info,Mission objective info.,Return to and land on the helipad.,Retournez et atterrissez sur le pad d'helicoptere.
f45-quickFlight_45_2StageAttack_b0,Text from a mission briefing.,"You will be the first to launch from the carrier.

Destroy the long range air defenses at the enemy coastal airbase Alpha first so that we can launch fighters.","Vous serez le premier a decoller du porte-avions.

Detruisez d'abord les defenses aeriennes a longue portee a la base aerienne cotiere Alpha afin que nous puissions lancer des chasseurs."""
f45-quickFlight_45_2StageAttack_b1,Text from a mission briefing.,"Once the air defenses are destroyed, CAP group India will launch from the carrier to help you clean up the enemy fighters.","Une fois les defenses aeriennes detruites, le groupe CAP India decollera du porte-avions pour vous aider a eliminer les chasseurs ennemis."
f45-quickFlight_45_2StageAttack_b2,Text from a mission briefing.,"After clearing the fighters, land at the FARP to reconfigure for a purely air-to-air role. You will be joined by another F-45 to take down the enemy bombers taking off from airbase Bravo.

SEAD group Romeo will launch from the carrier to disable the SAM sites at Bravo.","Apres avoir degage les chasseurs, atterrissez au FARP pour vous reconfigurer pour un role purement air-air. Vous serez rejoint par un autre F-45 pour abattre les bombardiers ennemis decollant de la base aerienne Bravo. 

Le groupe SEAD Romeo lancera depuis le transporteur pour desactiver les sites SAM chez Bravo."
f45-quickFlight_45_2StageAttack_b3,Text from a mission briefing.,Destroy the two bombers from Bravo then return to carrier to complete the mission!,
f45-quickFlight_45_BayAssault_b0,Text from a mission briefing.,"Complete all of the objectives, then return to the assault carrier.

You can complete them in any order you choose.

There's a mix of hardened surface targets and air targets.","Remplissez tous les objectifs, puis retournez au porte-avions d'assaut. 

Vous pouvez les completer dans l’ordre de votre choix. 

Il existe un melange de cibles de surface durcies et de cibles aeriennes."
f45-quickFlight_45_BayAssault_b1,Text from a mission briefing.,"Enemy rocket artillery have moved into range and have begun firing on our fleet from the other side of a mountain.

They have a low hit probability, but we must destroy them.","L'artillerie de roquettes ennemie s'est mise a portee et a commence a tirer sur notre flotte depuis l'autre versant d'une montagne. 

Ils ont une faible probabilite de toucher, mais nous devons les detruire."
f45-quickFlight_45_BayAssault_b2,Text from a mission briefing.,"Enemy bombers have also been known to operate from this area. If they decide to deploy them against our assault fleet, they will be a high priority target.","Les bombardiers ennemis sont egalement connus pour operer dans cette zone. S'ils decident de les deployer contre notre flotte d'assaut, ils seront une cible de haute priorite."
f45-quickFlight_45_BayAssault_b3,Text from a mission briefing.,"We have little intel on their whereabouts, but a handful of enemy stealth fighters are stationed by the bay and must be destroyed.","Nous avons peu d'informations sur leur emplacement, mais une poignee de chasseurs furtifs ennemis sont stationnes pres de la baie et doivent etre detruits."
f45-quickFlight_45_BayAssault_b4,Text from a mission briefing.,"Finally, you must find the enemy command post and destroy the two bunkers. The bunkers will likely be adjacent to large supply tents.","Enfin, vous devez trouver le poste de commandement ennemi et detruire les deux bunkers. Les bunkers seront probablement adjacents a de grandes tentes de ravitaillement."
f45-quickFlight_45_BayAssault_b5,Text from a mission briefing.,"Enemy bases are well defended, so use caution when operating near them.","Les bases ennemies sont bien defendues, donc soyez prudent lorsque vous operez a proximite."
f45-quickFlight_45_BayAssault_b6,Text from a mission briefing.,The mission will be considered a failure if either of our carriers are destroyed.,La mission sera consideree comme un echec si l'un de nos porte-avions est detruit.
f45-quickFlight_45_carrierPractice_b0,Text from a mission briefing.,"No objectives or enemies.

You will start at 300kts, 1000ft above two carriers. Contact one of them to request clearance to land.","Pas d'objectifs ni d'ennemis.

Vous commencerez a 300 nœuds, 1 000 pieds au-dessus de deux porte-avions. Contactez l'un d'eux pour demander l'autorisation d'atterrir."
f45-quickFlight_f45-freeFlight_b0,Text from a mission briefing.,No objectives or enemies.,Pas d'objectifs ni d'ennemis.
f45-quickFlight_f45_quickMission1_b0,Text from a mission briefing.,"You are stationed at small FARP (forward arming and refueling point) near an enemy airbase. Unfortunately, you only have enough supplies for one last sortie, and it's a tough one.","Vous etes stationne a un petit FARP (point de ravitaillement et d'armement avance) pres d'une base aerienne ennemie. Malheureusement, vous n'avez assez de fournitures que pour une derniere mission, et c'est une mission difficile."
f45-quickFlight_f45_quickMission1_b1,Text from a mission briefing.,"The mission is to destroy 3 enemy weapon caches. We don't know exactly where they are, but they are most likely near air defenses. Based on their radar emissions, we have estimated the positions of 4 sites. The caches may all be at one site, or spread out between them.","La mission consiste a detruire 3 caches d'armes ennemies. Nous ne savons pas exactement où elles se trouvent, mais elles sont probablement pres des defenses aeriennes. En fonction des emissions radar, nous avons estime les positions de 4 sites. Les caches peuvent toutes se trouver sur un seul site ou etre reparties entre eux."
f45-quickFlight_f45_quickMission1_b2,Text from a mission briefing.,"You don't have any support on this mission. No extra fuel, no rearming, no wingmen, nothing. With scattered SAM sites and numerous enemy air patrols, the odds are stacked against you. Use stealthy tactics to maneuver around the area and destroy the targets.","Vous n'avez aucun soutien pour cette mission. Pas de carburant supplementaire, pas de rearmement, pas de pilotes adjoints, rien. Avec des sites SAM disperses et de nombreuses patrouilles aeriennes ennemies, les chances sont contre vous. Utilisez des tactiques furtives pour manœuvrer dans la zone et detruire les cibles."
f45-quickFlight_f45_quickMission1_b3,Text from a mission briefing.,"SUMMARY:
Objective:
 - Destroy the 3 weapon caches (supply tents)

Threats:
 - SAMs
 - Patrolling aircraft","RESUME :
Objectif :
- Detruire les 3 caches d'armes (tentes de ravitaillement)

Menaces :
- SAM
- Avions en patrouille"
campaign_arcadeTutorial_name,Name of a campaign.,Tutorials,Tutoriels
campaign_arcadeTutorial_description,Description of a campaign.,Basic tutorials for the AV-42C,Tutoriels de base pour l'AV-42C
arcadeTutorial:tut_gettingStarted_name,Name of a mission.,Getting Started,Premiers Pas
arcadeTutorial:tut_gettingStarted_description,Description of a mission.,"Cockpit familiarization, start-up procedures.","Familiarisation avec le cockpit, procedures de demarrage."
arcadeTutorial:tut_weapons1_name,Name of a mission.,Basic Weapons,Armes de Base
arcadeTutorial:tut_weapons1_description,Description of a mission.,"Learn how to use the cannon, rockets, and targeting system.","Apprenez a utiliser le canon, les roquettes et le systeme de ciblage."
arcadeTutorial:verticalFlight1_name,Name of a mission.,AP Vertical Flight,Vol Vertical AP
arcadeTutorial:verticalFlight1_description,Description of a mission.,Learn how to use the hover autopilot feature.,Apprenez a utiliser la fonction de pilote automatique pour le vol stationnaire.
arcadeTutorial:tut_basicFlight_name,Name of a mission.,Basic Flight,Vol de Base
arcadeTutorial:tut_basicFlight_description,Description of a mission.,"Taxi, take off, landing.","Deplacement au sol, decollage, atterrissage."
arcadeTutorial_tut_gettingStarted_b0,Text from a mission briefing.,"Today we will be learning how to operate the AV-42C.

The start-up procedure is not very complicated, so let's jump in and get started.","Aujourd'hui, nous allons apprendre a utiliser l'AV-42C. 

La procedure de demarrage n’est pas tres compliquee, alors allons-y et commencons."
arcadeTutorial_tut_weapons1_b0,Text from a mission briefing.,"The AV-42C is capable of equipping various weapons. Today you will learn how to use the 30mm GAU-8 cannon, and the Hydra-70 unguided rockets. You will also learn how to find and acquire targets using the TGP.","L'AV-42C est capable d'equiper diverses armes. Aujourd'hui, vous apprendrez a utiliser le canon GAU-8 de 30 mm et les roquettes non guidees Hydra-70. Vous apprendrez egalement a trouver et acquerir des cibles en utilisant le TGP."
arcadeTutorial_verticalFlight1_b0,Text from a mission briefing.,"Vertical flight can be tricky, but by using the hover autopilot, you can take off, hover, and land with ease.","Le vol vertical peut etre delicat, mais en utilisant le pilote automatique de stationnement, vous pouvez decoller, rester en stationnaire et atterrir avec aisance."
campaign_av42c_tutorials_name,Name of a campaign.,AV-42C Tutorials,Tutoriels AV-42C
campaign_av42c_tutorials_description,Description of a campaign.,Tutorials for the AV-42C,Tutoriels pour l'AV-42C
av42c_tutorials:tut_av42c_agm_name,Name of a mission.,Air-to-Ground Missiles,Missiles Air-Sol
av42c_tutorials:tut_av42c_agm_description,Description of a mission.,Learn how to use air-to-ground missiles.,Apprenez a utiliser les missiles air-sol.
AV-42C:av42c_tutorials:tut_av42c_agm:obj_0:name,A mission objective name,AGM Tutorial,Tutoriel AGM
AV-42C:av42c_tutorials:tut_av42c_agm:obj_0:info,Mission objective info.,Complete the AGM tutorial.,Completez le tutoriel AGM.
AV-42C:av42c_tutorials:tut_av42c_agm:obj_1:name,A mission objective name,Destroy Targets A,Detruire des Cibles A
AV-42C:av42c_tutorials:tut_av42c_agm:obj_1:info,Mission objective info.,Destroy some of the targets around the waypoint using the AGM-114.,Detruisez certaines des cibles autour du waypoint en utilisant l'AGM-114.
AV-42C:av42c_tutorials:tut_av42c_agm:obj_2:name,A mission objective name,Destroy Targets B,Detruire des Cibles B
AV-42C:av42c_tutorials:tut_av42c_agm:obj_2:info,Mission objective info.,,
av42c_tutorials:tut_basicFlight_name,Name of a mission.,Basic Flight,Vol de base
av42c_tutorials:tut_basicFlight_description,Description of a mission.,"Taxi, take off, landing.","Deplacement au sol, decollage, atterrissage."
av42c_tutorials:tut_gettingStarted_name,Name of a mission.,Getting Started,Premiers Pas
av42c_tutorials:tut_gettingStarted_description,Description of a mission.,"Cockpit familiarization, start-up procedures.","Familiarisation avec le cockpit, procedures de demarrage."
av42c_tutorials:tut_weapons1_name,Name of a mission.,Basic Weapons,Armes de Base
av42c_tutorials:tut_weapons1_description,Description of a mission.,"Learn how to use the cannon, rockets, and targeting system.","Apprenez a utiliser le canon, les roquettes et le systeme de ciblage."
av42c_tutorials:verticalFlight1_name,Name of a mission.,AP Vertical Flight,Vol Vertical AP
av42c_tutorials:verticalFlight1_description,Description of a mission.,Learn how to use the hover autopilot feature.,Apprenez a utiliser la fonction de pilote automatique pour le vol stationnaire.
av42c_tutorials_tut_av42c_agm_b0,Text from a mission briefing.,"Today, you will learn how to use air-to-ground missiles (AGMs) to destroy armored ground targets.","Aujourd'hui, vous apprendrez a utiliser les missiles air-sol (AGM) pour detruire des cibles terrestres blindees."
av42c_tutorials_tut_basicFlight_b0,Text from a mission briefing.,"Learn how to use the virtual flight controls to taxi, take off, and land the AV-42C ""Kestrel"".","Apprenez a utiliser les commandes de vol virtuelles pour manœuvrer, decoller et atterrir avec l'AV-42C ""Kestrel""."
av42c_tutorials_tut_gettingStarted_b0,Text from a mission briefing.,"Today we will be learning how to operate the AV-42C.

The start-up procedure is not very complicated, so let's jump in and get started.","Aujourd'hui, nous allons apprendre a utiliser l'AV-42C. 

La procedure de demarrage n’est pas tres compliquee, alors allons-y et commencons."
av42c_tutorials_tut_weapons1_b0,Text from a mission briefing.,"The AV-42C is capable of equipping various weapons. Today you will learn how to use the 30mm GAU-8 cannon, and the Hydra-70 unguided rockets. You will also learn how to find and acquire targets using the TGP.","L'AV-42C est capable d'equiper diverses armes. Aujourd'hui, vous apprendrez a utiliser le canon GAU-8 de 30 mm et les roquettes non guidees Hydra-70. Vous apprendrez egalement a trouver et acquerir des cibles en utilisant le TGP."
av42c_tutorials_verticalFlight1_b0,Text from a mission briefing.,"Vertical flight can be tricky, but by using the hover autopilot, you can take off, hover, and land with ease.","Le vol vertical peut etre delicat, mais en utilisant le pilote automatique de stationnement, vous pouvez decoller, rester en stationnaire et atterrir avec aisance."
campaign_fa26b_tutorials_name,Name of a campaign.,FA-26B Tutorials,Tutoriels FA-26B
campaign_fa26b_tutorials_description,Description of a campaign.,Built-in tutorials for the F/A-26B.,Tutoriels integres pour le F/A-26B.
fa26b_tutorials:tut_26_radar_name,Name of a mission.,Radar,Radar
fa26b_tutorials:tut_26_radar_description,Description of a mission.,"Learn how to use the radar to find, track, and lock onto aircraft.","Apprenez a utiliser le radar pour trouver, suivre et verrouiller les aeronefs."
F/A-26B:fa26b_tutorials:tut_26_radar:obj_0:name,A mission objective name,Tutorial,Tutoriel
F/A-26B:fa26b_tutorials:tut_26_radar:obj_0:info,Mission objective info.,Complete the radar tutorial,Completez le tutoriel sur le radar.
F/A-26B:fa26b_tutorials:tut_26_radar:obj_1:name,A mission objective name,Air Target 1,Cible aerienne 1
F/A-26B:fa26b_tutorials:tut_26_radar:obj_1:info,Mission objective info.,Shoot the target with an AIM-120,Tire sur la cible avec un AIM-120.
F/A-26B:fa26b_tutorials:tut_26_radar:obj_2:name,A mission objective name,Air Targets 2,Cibles aeriennes 2
F/A-26B:fa26b_tutorials:tut_26_radar:obj_2:info,Mission objective info.,Destroy the 5 other air targets.,Detruisez les 5 autres cibles aeriennes.
fa26b_tutorials:tut_26_sead_name,Name of a mission.,SEAD,SEAD
fa26b_tutorials:tut_26_sead_description,Description of a mission.,Learn how to use the ARAD and AGM-88 to destroy radar targets.,Apprenez a utiliser l'ARAD et l'AGM-88 pour detruire les cibles radar.
F/A-26B:fa26b_tutorials:tut_26_sead:obj_0:name,A mission objective name,SEAD Tutorial,Tutoriel SEAD
F/A-26B:fa26b_tutorials:tut_26_sead:obj_0:info,Mission objective info.,Complete the SEAD tutorial,Completez le tutoriel SEAD.
F/A-26B:fa26b_tutorials:tut_26_sead:obj_1:name,A mission objective name,SEAD,SEAD
F/A-26B:fa26b_tutorials:tut_26_sead:obj_1:info,Mission objective info.,Destroy the SAM radars.,Detruisez les radars SAM.
fa26b_tutorials_tut_26_radar_b0,Text from a mission briefing.,The F/A-26B is equipped with powerful forward facing radar. Learn how to use it to detect and track other aircraft. Lock onto enemy targets to allow you to fire radar guided missiles.,Le F/A-26B est equipe d'un puissant radar oriente vers l'avant. Apprenez a l'utiliser pour detecter et suivre d'autres aeronefs. Verrouillez les cibles ennemies pour pouvoir tirer des missiles guides par radar.
fa26b_tutorials_tut_26_sead_b0,Text from a mission briefing.,"One of the most abundant and dangerous threats to aircraft are Surface-to-Air Missiles (SAMs), most of which rely on radar to find and track targets.

Suppression of Enemy Air Defense (SEAD) operations neutralize or destroy these threats.","Les missiles sol-air (SAM), dont la plupart s'appuient sur le radar pour trouver et suivre leurs cibles, constituent l'une des menaces les plus repandues et les plus dangereuses pour les avions. 

Les operations de suppression de la defense aerienne ennemie (SEAD) neutralisent ou detruisent ces menaces."
fa26b_tutorials_tut_26_sead_b1,Text from a mission briefing.,"One method of performing SEAD involves destroying the radar used by the SAMs.

You will learn how to use the Anti-Radar Attack Display (ARAD) in conjunction with the AGM-88 weapon to locate, target, and destroy enemy radars.","Une methode pour effectuer le SEAD consiste a detruire le radar utilise par les SAM. 

Vous apprendrez a utiliser l'ecran d'attaque anti-radar (ARAD) en conjonction avec l'arme AGM-88 pour localiser, cibler et detruire les radars ennemis."
:example1_name,Name of a mission.,Dangerous Transport,Transport dangereux
:example1_description,Description of a mission.,Example AV-42C scenario.,Exemple de scenario AV-42C.
AV-42C::example1:obj_0:name,A mission objective name,Pick-up,Prise en charge
AV-42C::example1:obj_0:info,Mission objective info.,Pick up the soldiers at the waypoint.,Recuperez les soldats au point de passage.
AV-42C::example1:obj_1:name,A mission objective name,Drop Off,Deposer
AV-42C::example1:obj_1:info,Mission objective info.,Transport the soldiers to the objective waypoint.,Transportez les soldats au point objectif.
AV-42C::example1:obj_2:name,A mission objective name,CAS,CAS
AV-42C::example1:obj_2:info,Mission objective info.,Destroy the enemy units on the road towards our soldiers.,Detruisez les unites ennemies sur la route menant a nos soldats.
AV-42C::example1:obj_3:name,A mission objective name,RTB,RTB
AV-42C::example1:obj_3:info,Mission objective info.,Return to the carrier.,Retournez au porte-avions.
AV-42C::example1:obj_4:name,A mission objective name,Clear LZ,Nettoyer la zone d'atterrissage
AV-42C::example1:obj_4:info,Mission objective info.,Destroy the units in the city by the landing zone.,Detruisez les unites dans la ville pres de la zone d'atterrissage.
:hmap2Test_name,Name of a mission.,Large Map Test,Test de grande carte
:hmap2Test_description,Description of a mission.,Strike enemy artillery. This mission is intended to test the performance of a large custom map.,Attaquez l'artillerie ennemie. Cette mission est destinee a tester les performances d'une grande carte personnalisee.
F/A-26B::hmap2Test:obj_0:name,A mission objective name,Patrol,Patrouille
F/A-26B::hmap2Test:obj_0:info,Mission objective info.,"Form up with your air group and fly the patrol path, MSN-1","Formez une escadre avec votre groupe aerien et suivez le chemin de patrouille, MSN-1."
F/A-26B::hmap2Test:obj_1:name,A mission objective name,Strike,Frappe
F/A-26B::hmap2Test:obj_1:info,Mission objective info.,Destroy the five artillery vehicles.,Detruisez les cinq vehicules d'artillerie.
F/A-26B::hmap2Test:obj_2:name,A mission objective name,RTB,RTB
F/A-26B::hmap2Test:obj_2:info,Mission objective info.,Return to base.,Retournez a la base.
setting_Interactable Tooltips,The name of a game option.,Interactable Tooltips,Infobulles interactives
settingDescription_Interactable Tooltips,The description of a game option.,Show names of interactable objects when hovering over them.,Affichez les noms des objets interactifs lorsque vous passez la souris dessus.
setting_Unit Icons,The name of a game option.,Unit Icons,Icones d'unite
settingDescription_Unit Icons,The description of a game option.,Show team-colored icons on units.,Affichez les icones colorees des equipes sur les unites.
setting_Body Physics,The name of a game option.,Body Physics,Physique du corps
settingDescription_Body Physics,The description of a game option.,Pilot body is affected by g-forces. Nausea risk.,Le corps du pilote est affecte par les forces G. Risque de nausee.
setting_Experimental Wind,The name of a game option.,Experimental Wind,Vent experimental
settingDescription_Experimental Wind,The description of a game option.,EXPERIMENTAL: Dynamic wind up to 30 knots. Just a test!,EXPERIMENTAL : Vent dynamique jusqu'a 30 nœuds. Juste un test !
setting_Tree Collisions,The name of a game option.,Tree Collisions,Collisions avec les arbres
settingDescription_Tree Collisions,The description of a game option.,Player vehicle can collide with trees.,Le vehicule du joueur peut entrer en collision avec les arbres.
setting_Tailhook Physics,The name of a game option.,Tailhook Physics,Physique du crochet d'arret
settingDescription_Tailhook Physics,The description of a game option.,"Arrestor hook will collide with surface, bouncing and skipping slightly. Increased difficulty.","Le crochet d'arret entrera en collision avec la surface, rebondissant et sautant legerement. Difficulte accrue."
setting_Persistent S-Cam,The name of a game option.,Persistent S-Cam,Camera S persistante
settingDescription_Persistent S-Cam,The description of a game option.,"Start each mission with the spectator camera enabled, if it was enabled on the previous flight.","Commencez chaque mission avec la camera spectatrice activee, si elle etait activee lors du vol precedent."
setting_Bobblehead,The name of a game option.,Bobblehead,Bobblehead
settingDescription_Bobblehead,The description of a game option.,Show the BD bobblehead in the cockpit.,Affichez la bobblehead BD dans le cockpit.
setting_Thumbstick Mode,The name of a game option.,Thumbstick Mode,Mode de stick analogique
settingDescription_Thumbstick Mode,The description of a game option.,Use controller thumbstick instead of touch-pad.,Utilisez le stick analogique de la manette au lieu du pave tactile.
setting_Thumb Control Rudder,The name of a game option.,Thumb Control Rudder,Controle du gouvernail avec le pouce
settingDescription_Thumb Control Rudder,The description of a game option.,Use throttle thumb control for rudder instead of joystick-twist.,Utilisez le controle du pouce de l'accelerateur pour le gouvernail au lieu de la torsion du joystick.
setting_Hardware Control Rudder,The name of a game option.,Hardware Control Rudder,Gouvernail par materiel
settingDescription_Hardware Control Rudder,The description of a game option.,Use hardware (rudder pedals) for rudder. Overrides other settings.,Utilisez le materiel (pedales de gouvernail) pour le gouvernail. Remplace les autres reglages.
setting_Toggle Grip,The name of a game option.,Toggle Grip,Basculer Grip
settingDescription_Toggle Grip,The description of a game option.,Allow toggling throttle/joystick grip by tapping grip button. Holding grip button still allows releasing after letting go.,Permet de basculer la prise de l'accelerateur/joystick en appuyant sur le bouton de prise. Maintenir le bouton de prise permet toujours de le relacher apres avoir lache.
setting_Flight Control Haptics,The name of a game option.,Flight Control Haptics,Haptique du controle de vol
settingDescription_Flight Control Haptics,The description of a game option.,Set the intensity of joystick/throttle haptic feedback.,Reglez l'intensite du retour haptique du joystick/de l'accelerateur.
setting_Hide FPV Helmet,The name of a game option.,Hide FPV Helmet,Cacher le casque FPV
settingDescription_Hide FPV Helmet,The description of a game option.,Don't show the pilot helmet from first person view.,Ne montrez pas le casque du pilote en vue a la premiere personne.
setting_Fullscreen NVG,The name of a game option.,Fullscreen NVG,NVG en plein ecran
settingDescription_Fullscreen NVG,The description of a game option.,Apply NVG effect to full field of view.,Appliquez l'effet NVG a tout le champ de vision.
setting_Limit FPS,The name of a game option.,Limit FPS,Limiter les FPS
settingDescription_Limit FPS,The description of a game option.,Limit game framerate to the refresh rate of the VR device.,Limitez le taux de rafraichissement du jeu au taux de rafraichissement du dispositif VR.
setting_Multi-Display Mode,The name of a game option.,Multi-Display Mode,Mode multi-ecrans
settingDescription_Multi-Display Mode,The description of a game option.,Display spectator camera on the second display.,Affichez la camera spectatrice sur le deuxieme ecran.
setting_BGM Volume,The name of a game option.,BGM Volume,Volume B G Music
settingDescription_BGM Volume,The description of a game option.,The volume of background music in menus and missions.,Le volume de la musique de fond dans les menus et les missions.
setting_Skeleton Fingers,The name of a game option.,Skeleton Fingers,Squelette de doigts
settingDescription_Skeleton Fingers,The description of a game option.,Animate hand poses using SteamVR's skeleton poses feature. Recommended for Index controllers only.,Animez les poses des mains en utilisant la fonctionnalite de poses de squelette de SteamVR. Recommande pour les controleurs Index uniquement.
setting_Test Quicksave,The name of a game option.,Test Quicksave,Tester la sauvegarde rapide
